Index,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
98,P!nk,"8,243,802,966","663,799,734",227,0,23,180922
99,John Mayer,"8,243,443,329","514,893,335",208,0,20,160922
100,Logic,"8,221,159,539","1,940,369,157",193,1,14,110922
101,Migos,"8,212,730,428","3,413,743,336",283,0,18,200922
102,Trippie Redd,"8,169,854,684","3,237,110,398",197,0,24,150922
103,Gunna,"8,136,453,038","4,669,227,285",178,2,15,140922
104,Tyga,"8,136,081,475","4,144,077,151",303,1,20,310722
105,James Arthur,"8,094,663,482","77,343,574",147,1,14,180922
106,Little Mix,"8,025,705,397","12,393,008",205,0,21,200922
107,Macklemore,"7,934,784,607","83,073,903",103,1,13,200922
108,ZAYN,"7,926,581,878","238,814,490",85,3,16,180922
109,DJ Snake,"7,893,987,604","1,942,695,289",142,2,11,310722
110,Lauv,"7,860,150,086","147,385,883",108,1,21,120822
111,Kodak Black,"7,853,951,418","1,969,874,771",243,0,16,190922
112,"Tyler, The Creator","7,852,572,852","1,592,057,360",154,0,21,180922
113,Frank Ocean,"7,842,180,179","2,342,080,949",45,0,23,190922
114,A$AP Rocky,"7,788,610,912","5,156,511,594",99,0,19,200922
115,YoungBoy Never Broke Again,"7,762,762,379","1,355,024,452",416,0,8,190922
116,NF,"7,715,473,739","135,847,234",81,1,18,120922
117,Tiësto,"7,713,821,346","760,009,949",653,0,16,210822
118,5 Seconds of Summer,"7,672,003,639","523,602,841",165,1,14,190922
119,A Boogie Wit da Hoodie,"7,634,446,872","3,249,718,029",138,0,17,140922
120,Zedd,"7,585,730,125","1,008,114,646",139,3,14,210822
121,Romeo Santos,"7,485,543,396","1,125,011,362",146,0,21,160922
122,Robin Schulz,"7,470,013,873","315,457,501",224,1,15,40922
123,Green Day,"7,403,734,026","536,841",374,0,13,160922
124,$uicideboy$,"7,392,060,042","255,581,637",313,0,13,180922
125,Nirvana,"7,295,132,559","1,137,194",347,1,14,190922
126,SZA,"7,269,204,057","2,147,963,882",49,2,18,190922
127,Luis Miguel,"7,267,478,981","2,583,720",312,0,17,160922
128,DJ Khaled,"7,262,608,327","195,727,208",186,1,14,20922
129,Metro Boomin,"7,262,115,562","209,872,990",118,1,18,310722
130,Justin Timberlake,"7,225,331,308","2,167,168,755",172,1,13,180922
131,Bob Marley & The Wailers,"7,206,364,367","56,737,031",618,0,13,290822
132,BLACKPINK,"7,206,360,244","526,346,942",103,0,22,190922
133,Machine Gun Kelly,"7,175,506,952","1,017,993,010",141,0,14,150922
134,blackbear,"7,107,987,469","1,743,247,445",162,1,14,220822
135,Black Eyed Peas,"7,055,175,439","88,656,205",213,0,13,180922
136,Anne-Marie,"6,995,284,822","797,700,433",136,3,12,190922
137,Lewis Capaldi,"6,958,006,277","1,385",48,2,10,310822
138,Clean Bandit,"6,956,364,284","24,677,721",176,3,10,310722
139,JAY-Z,"6,923,840,435","5,959,218,358",306,0,13,170922
140,Marília Mendonça,"6,909,001,088","1,549,217,519",122,0,23,200922
141,Zara Larsson,"6,878,581,725","510,565,925",85,2,13,130922
142,Bebe Rexha,"6,836,453,644","3,954,204,862",113,2,14,130922
